"CANTIDAD","ESTADO","RADICACIÓN","DEMANDADO","IDENTIFICACIÓN","FECHA 
RADICACIÓN","AUTORIDAD JUDICIAL QUE TRAMITA","TIPO DE PROCESO","TIPO DE ACCIÓN"
"1","ACTIVO","85001333300220180036000","MUNICIPIO DE YOPAL","8918550177","2018-10-16T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"2","ACTIVO","85001333300220170059500","MUNICIPIO DE YOPAL","8918550177","2017-12-18T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"3","ACTIVO","85001333300120190036100","MUNICIPIO DE YOPAL","8918550177","2019-09-05T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"4","ACTIVO","85001333300220190032700 PRINCIPAL
85001333300120180015300 ACUMULADO
85001333300220180026900 ACUMULADO","MUNICIPIO DE YOPAL","8918550177","2019-08-01T00:00:00.000","JUZGADO QUINTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"5","ACTIVO","85001333300220180025600","MUNICIPIO DE YOPAL","8918550177","2018-07-30T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"6","ACTIVO","85001333300220180030800","MUNICIPIO DE YOPAL","8918550177","2018-09-06T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"7","ACTIVO","85001333300220170060100","MUNICIPIO DE YOPAL","8918550177","2017-12-19T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"8","ACTIVO","85001333300220140007600
85001333300120140007300","MUNICIPIO DE YOPAL","8918550177","2014-03-31T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","ACCIÓN DE GRUPO"
"9","ACTIVO","85001333300120170045600","MUNICIPIO DE YOPAL","8918550177","2017-03-12T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"10","ACTIVO","85001333300120150050100","MUNICIPIO DE YOPAL","8918550177","2015-11-18T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"11","ACTIVO","85001333300120200016000","MUNICIPIO DE YOPAL","8918550177","2020-09-16T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"12","ACTIVO","85001333300220200008200","MUNICIPIO DE YOPAL","8918550177","2020-04-30T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"13","ACTIVO","85001333300120170039100","MUNICIPIO DE YOPAL","8918550177","2017-10-06T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"14","ACTIVO","85001333300120180003200","MUNICIPIO DE YOPAL","8918550177","2018-02-13T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"15","ACTIVO","85001333300320210003400","MUNICIPIO DE YOPAL","8918550177","2021-04-06T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"16","ACTIVO","85001333300120180026500","MUNICIPIO DE YOPAL","8918550177","2018-08-08T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"17","ACTIVO","85001333300120170005200","MUNICIPIO DE YOPAL","8918550177","2017-03-06T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"18","ACTIVO","85001333300120190024300","MUNICIPIO DE YOPAL","8918550177","2019-05-14T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"19","ACTIVO","85001333300120200012000","MUNICIPIO DE YOPAL","8918550177","2020-08-13T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"20","ACTIVO","85001333300120190008400","MUNICIPIO DE YOPAL","8918550177","2019-01-24T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"21","ACTIVO","85001233300020210023100","MUNICIPIO DE YOPAL","8918550177","2021-04-19T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE - DESPACHO 03","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"22","ACTIVO","85001333300120210012200","MUNICIPIO DE YOPAL","8918550177","2021-06-17T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"23","ACTIVO","85001333300220220011100","MUNICIPIO DE YOPAL","8918550177","2022-06-02T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"24","ACTIVO","85001333300220220019200","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO QUINTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"25","ACTIVO","85001333300320220024400","MUNICIPIO DE YOPAL","8918550177","2022-12-01T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"26","ACTIVO","85001333300220180041200","MUNICIPIO DE YOPAL","8918550177","2018-04-24T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"27","ACTIVO","85001333300220180024600","MUNICIPIO DE YOPAL","8918550177","2018-07-05T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"28","ACTIVO","85001333300220140025100","MUNICIPIO DE YOPAL","8918550177","2014-08-29T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","ACCIONES CONSTITUCIONALES","ACCIÓN DE CUMPLIMIENTO"
"29","ACTIVO","85001333300120150044600","DIEGO LUIS MARIÑO
LIBERTY SEGUROS

GERMAN EDUARDO PULIDO DAZA","74860266","2015-10-16T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"30","ACTIVO","85001333300120170035300","MUNICIPIO DE YOPAL","8918550177","2017-09-12T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"31","ACTIVO","85001333300120180039800","MUNICIPIO DE YOPAL","8918550177","2018-12-12T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","ACCIONES CONSTITUCIONALES","ACCIÓN DE GRUPO"
"32","ACTIVO","85001233300020170010901
85001233300020170010900","MINISTERIO DEL TRABAJO
SERVICIO NACIONAL DE APRENDIZAJE SENA
SINTRAYOPAL","830115226
899999034-1","2017-06-09T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE - DESPACHO 03","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"33","ACTIVO","85001333300120190008800","MUNICIPIO DE YOPAL","8918550177","2019-02-28T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"34","ACTIVO","85001333300120190040900","MUNICIPIO DE YOPAL","8918550177","2019-10-24T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"35","ACTIVO","85001333300120200018600","MUNICIPIO DE YOPAL","8918550177","2020-09-17T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"36","ACTIVO","85001333300220160012900","BLANCA ORQUIDEA MILLAN Y
LAURA MARCELA AGUIRRE","46379806","2016-04-25T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","EJECUTIVO SEGUIDO AL DECLARATIVO"
"37","ACTIVO","85001333300220190045700
85001333300120140022100","MUNICIPIO DE YOPAL","8918550177","2014-07-30T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"38","ACTIVO","85001333300120160010100","MUNICIPIO DE YOPAL","8918550177","2016-04-15T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"39","ACTIVO","85001333300120160022900","MUNICIPIO DE YOPAL","8918550177","2016-08-05T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"40","ACTIVO","85001333300120200015400","MUNICIPIO DE YOPAL","8918550177","2020-09-04T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"41","ACTIVO","85001333300120210001700","MUNICIPIO DE YOPAL","8918550177","2021-01-21T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"42","ACTIVO","85001333300120200026700","MUNICIPIO DE YOPAL","8918550177","2020-12-16T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"43","ACTIVO","85001333300120210014000","MUNICIPIO DE YOPAL","8918550177","2021-07-11T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"44","ACTIVO","85001333300320220001400","MUNICIPIO DE YOPAL","8918550177","2022-01-26T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"45","ACTIVO","85001333300120160012200
85001333300120170026000
85001333300120160012300","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"46","ACTIVO","11001032500020190060600
11001032500020190067100 
11001032500020200017600 
11001032500020190086200
11001032500020190061000
11001032500020190061100
11001032500020190061200
11001032500020190086000
11001032500020190086300
11001032500020190088500
11001032500020190099900
11001032500020200016700
11001032500020200017300
11001032500020200017900
11001032500020200016800","MUNICIPIO DE YOPAL","8918550177","2019-09-18T00:00:00.000","CONSEJO DE ESTADO - SECCIÓN SEGUNDA","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"47","ACTIVO","85001333300120170047400","MUNICIPIO DE YOPAL","8918550177","2017-12-03T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"48","ACTIVO","85001233300020180003600","MUNICIPIO DE YOPAL","8918550177","2018-04-10T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE - DESPACHO 03","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"49","ACTIVO","85001333300120190012300","MUNICIPIO DE YOPAL","8918550177","2019-03-05T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"50","ACTIVO","85001333300220180016200","MUNICIPIO DE YOPAL","8918550177","2018-05-24T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"51","ACTIVO","85001333300220220000800","MUNICIPIO DE YOPAL","8918550177","2022-05-10T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"52","ACTIVO","85001333300220210012500","MUNICIPIO DE YOPAL","8918550177","2021-08-31T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"53","ACTIVO","85001333300220180023800","MUNICIPIO DE YOPAL","8918550177","2018-07-19T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"54","ACTIVO","85001333300120190019800","MUNICIPIO DE YOPAL","8918550177","2019-11-22T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"55","ACTIVO","85001233300020200056800","MUNICIPIO DE YOPAL","8918550177","2020-09-17T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE - DESPACHO 03","ACCIONES CONSTITUCIONALES","ACCIÓN DE GRUPO"
"56","ACTIVO","RESOLUCION No 102.54.1346 DEL 15 DE DICIEMBRE DE 2015, MEDIANTE LA CUAL SE EXPIDE LICENCIA URBANISTICA DE SUBDIVISION, PARCELACION, CONSTRUCCION EN LA MODALIDAD DE OBRA NUEVA E IGUALMENTE SE APRUEBA EL REGLAMENTO DE PROPIEDAD HORIZONTAL AL CONDOMINIO CAMPESTRE LA CAMPIRANA Y DE TODOS LOS ACTOS ADMINISTRATIVOS QUE SE HAYAN EXPEDIDO COMO CONSECUENCIA DE LA EXPEDICION DE DICHO RESOLUCION","MODERNICEMOS S.A.S.","900668092-1","2019-08-12T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD POR LESIVIDAD"
"57","ACTIVO","85001333300120200001000","MUNICIPIO DE YOPAL","8918550177","2020-01-08T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"58","ACTIVO","85001333300120210001400","MUNICIPIO DE YOPAL","8918550177","2021-01-14T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"59","ACTIVO","85001333300220170059600","MUNICIPIO DE YOPAL","8918550177","2017-11-27T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"60","ACTIVO","85001233300020170011500
85001233300020170011502","MUNICIPIO DE YOPAL","8918550177","2021-03-15T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE - DESPACHO 02","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"61","ACTIVO","85001233300020150020101","FUNDACIÓN AZ","0/0/0","POR DETERMINAR","TRIBUNAL ADMINISTRATIVO DE CASANARE","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"62","ACTIVO","85001333300120200025400","MUNICIPIO DE YOPAL","8918550177","2020-11-24T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"63","ACTIVO","85001333300120210004300","MUNICIPIO DE YOPAL","8918550177","2021-02-23T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"64","ACTIVO","85001333300120190004800","MUNICIPIO DE YOPAL","8918550177","2019-01-22T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"65","ACTIVO","85001333300120200007400","MUNICIPIO DE YOPAL","8918550177","2020-03-11T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"66","ACTIVO","85001333300220190038200","MUNICIPIO DE YOPAL","8918550177","2019-09-13T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"67","ACTIVO","85001333300220190020300","MUNICIPIO DE YOPAL","8918550177","2019-04-03T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"68","ACTIVO","85001333300120160046300 
85001333300120160046300","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO CIVIL MUNICIPAL DE YOPAL","CIVIL - ORDINARIA","IMPOSICIÓN SERVIDUMBRE"
"69","ACTIVO","8500133330120160165200","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO CIVIL MUNICIPAL DE YOPAL","CIVIL - ORDINARIA","IMPOSICIÓN SERVIDUMBRE"
"70","ACTIVO","85001333300220200024100","MUNICIPIO DE YOPAL","8918550177","2020-11-26T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"71","ACTIVO","85001333300120190034200","MUNICIPIO DE YOPAL","8918550177","2019-08-22T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"72","ACTIVO","85001333300120180035700","MUNICIPIO DE YOPAL","8918550177","2018-10-04T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"73","ACTIVO","85001333300120190030700","MUNICIPIO DE YOPAL","8918550177","2019-07-02T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"74","ACTIVO","85001333300120190033900","MUNICIPIO DE YOPAL","8918550177","2019-08-12T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"75","ACTIVO","85001333300120190022800","MUNICIPIO DE YOPAL","8918550177","2019-05-08T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"76","ACTIVO","85001333300120210008800","MUNICIPIO DE YOPAL","8918550177","2021-04-30T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
